Glottocode,logPop,nSegments
aari1239,5.47465325336206,36
abar1238,3.26717172840301,36
abau1245,3.86153441085904,14
abid1235,4.70329137811866,38.5
abkh1244,5.18395278626658,66
abua1244,4.39794000867204,40
abur1243,4.74115159885179,38
acha1249,4.79726754083072,59
acha1250,2.39794000867204,29
ache1246,3,27.5
achi1257,6.54407201502453,55
achu1247,1,23
achu1248,4.02612451674545,27
acol1236,6.18383903705642,29
adan1247,6.00860017176192,39
adan1251,3.47712125471966,40
adio1239,5,31.5
adny1235,2.04139268515822,27
adyg1241,5.76752689940838,59
adze1240,4.47712125471966,25
afad1236,3.69897000433602,36
afar1241,6.29402509409532,27
afit1238,3.60205999132796,26
afri1274,6.85844034270995,39
agua1253,4.72916478969277,20
ahan1243,5.24303804868629,40
ahan1244,2.47712125471966,43
ahte1237,1.90308998699194,35
aika1237,2.25527250510331,28.5
ajab1235,5.8926510338773,41
ajas1235,2.30102999566398,48
akas1242,4.77232170672292,52
akaw1239,3.72835378202123,22
akha1245,5.75124830186397,50.5
akla1241,5.06744284277638,20
akoo1248,5,38
akpe1248,4,34
akun1241,0.778151250383644,22
alab1237,2.23044892137827,19
alam1246,3.1846914308176,25
alaw1244,1.07918124604762,26
aleu1260,2.19033169817029,31.5
alla1248,4.36172783601759,36
alut1245,1.39794000867204,27
alya1239,3.22010808804005,37.5
amah1246,2.7160033436348,22
aman1265,3.64542226934909,19
amar1271,0,24
amar1274,3.28103336724773,33
ambe1247,3.41497334797082,51
ambu1247,4.64345267648619,24
amel1241,3.72427586960079,20
amha1245,7.33885912500138,59
amii1238,1.47712125471966,32
amoo1242,4.0899051114394,35
amun1246,1.91907809237607,26
andi1255,3.76342799356294,68
ando1256,2.56820172406699,30.5
anga1288,5.12057393120585,49
anga1290,3.39794000867204,21
ango1258,4.09691001300806,36
anii1245,4.68930885912362,36
anin1240,3.11058971029925,26
anua1242,5.15411952551585,47
anuf1239,5.24846371755103,51
anyi1245,5.8302035989257,39
apal1257,2.65321251377534,24
apat1240,4.45331834004704,40
apia1248,0,22
apin1244,3.10037054511756,34
apro1235,3.81291335664286,33
apur1254,3.44404479591808,37
arab1267,1.07918124604762,24
arab1268,1.69897000433602,23.5
arag1245,4,36
arao1248,2.04139268515822,23
araw1273,2.44715803134222,21
araw1276,3.5854607295085,21
arbo1245,4.01367969729119,59
arch1244,2.98677173426624,91
argo1244,4.64048143697042,38
arhu1242,3.90308998699194,26.5
arik1265,0.301029995663981,25
asha1243,4.54654266347813,21
assa1263,7.10816639933613,36
