doculect,LONGITUDE,LATITUDE,col,r,g,b
Wasbüttel,10.59431,52.41361,#1E9380,0.11630235392261744,0.5769784997929688,0.5037700429855912
Wentorf(Sand),10.4776,53.67865,#0AC490,0.039636962493334246,0.7674697477265915,0.5638817079588138
Holmkjer,9.88288,54.72756,#1CAA7F,0.11172819222442097,0.6664293492867616,0.49907299508623654
Diekhusen,9.02855,53.93712,#0CB078,0.04882924974498375,0.6891553612207655,0.46910340513628285
Stöcken,9.355,52.76422,#10A664,0.06147835306842728,0.6506994440420996,0.3930921394183209
Barssel,7.7445,53.16896,#1DB073,0.11565082909611897,0.691522625361119,0.4522734039135762
Hohwacht(Os),10.67269,54.31969,#1FBF8A,0.12015133093090516,0.7497297074992229,0.5410530180576346
Jeetzel,11.13524,52.95197,#16AA77,0.08627149936694993,0.6678357250272229,0.4669955502485777
Ebstorf,10.4165,53.02872,#1CAA70,0.10792455917046517,0.6678386819607909,0.4377810831630793
Eversen,10.05358,52.75291,#12AA7C,0.07148358156911865,0.6660857972845426,0.48439408684748864
Oiste,9.15723,52.91245,#00AA66,0,0.6652640711929251,0.3993842717246772
Ohrdorf,10.80829,52.69796,#0EBD8A,0.05598552163920383,0.7403527834809548,0.5400929380827388
Osterbruch,8.94231,53.77773,#18B582,0.09267064936583176,0.710847405317699,0.5085861926447341
Dreeke,8.48841,52.67496,#10A985,0.06470160236901307,0.6623659292853449,0.5200338122458368
Ahrbergen,9.87635,52.22197,#118D67,0.06593783366613368,0.553496821139147,0.4051953208687704
Kuhstedt,8.96325,53.38118,#0EA989,0.054481217251559313,0.6634112201983546,0.5357655265005526
Warpe,9.10759,52.74531,#1FAB89,0.12147917578765745,0.6694960906862792,0.5387348986658371
Clausthal(Zf),10.336,51.8069,#710754,0.4428121385804535,0.028142217547909847,0.33100651599389114
Huddestorf,8.96733,52.47656,#229F76,0.1336793759611573,0.623735647010778,0.46180708899082545
Grossenwiehe,9.25023,54.71004,#11AF7E,0.06672350324923862,0.6859500256934357,0.4940144515894767
Wieda,10.58576,51.63299,#582C5E,0.34620066151036044,0.1736325673680547,0.3683286053008439
Hammah,9.36457,53.62058,#12BB76,0.07092336114950158,0.7314886937717948,0.4642784056608737
Gerbstedt,11.62803,51.63156,#4F113E,0.30881633801751607,0.06598100227387907,0.24206665036843003
Mirow,12.81399,53.27493,#19A67B,0.09711327171592357,0.6520334524500093,0.4826600118008673
Falkenthal,13.30394,52.90459,#2D6D5A,0.17457592342637224,0.4259567743003099,0.35313885318950544
Bennin,10.88412,53.44636,#12AD94,0.07037462129056875,0.6800776408892789,0.5791938332781873
Grünow,14.07178,53.12362,#1D7F77,0.11353548933309059,0.4986563320996372,0.46750556146982325
Altlandsberg,13.7256,52.5653,#5C163F,0.36097274271106167,0.0876758089498193,0.24745552967037926
Wolgast,13.76549,54.05062,#17A386,0.09044039979525627,0.6378004424043867,0.5264499178117155
Herzfeld,11.76421,53.3249,#08AE76,0.02990479049546376,0.68256691007819,0.46455356881655857
Altwarp,14.26249,53.74399,#1A9470,0.1019545450686645,0.5814289193773987,0.4401116057172453
KirchKogel,12.16037,53.65045,#07B07F,0.02634339913485196,0.6886119601111976,0.49683279123342167
Rossau,11.63871,52.78919,#209A86,0.12599123083529698,0.6058520109665854,0.523667632763026
Breddin,12.22293,52.88514,#21988B,0.12978512385507612,0.5975108969833427,0.5440501658133048
NeuSchadow,13.92416,52.09045,#651B43,0.3977176523376442,0.1045784496829545,0.26147298718743905
Ruhlsdorf,13.16846,52.12856,#364660,0.21239377838541146,0.2758859111527359,0.3764552609682417
GrossMohrdorf,12.94792,54.388420000000004,#0FA97A,0.05773453913891763,0.6610057482644427,0.4792355202110489
Verchen,12.90967,53.85051,#09A672,0.03630182546893813,0.6509073665740743,0.44796962792905387
Hundisburg,11.39951,52.24731,#2D706C,0.1782883484711317,0.43888150875346965,0.42476307320947626
Pretzsch(El),12.80601,51.7136,#570F4A,0.3414118870697758,0.05951727888850057,0.2897709825186129
Landgrafroda,11.43146,51.34975,#5E173F,0.36726353876138623,0.08930478801224671,0.24664235141261087
Gresenhorst,12.42447,54.15108,#11B784,0.06592070313042188,0.7165081980676223,0.5164328866501567
Vietmannsdorf,13.53068,53.05063,#259176,0.14547400459217918,0.5694790544405653,0.46379069056618133
Jacobsdorf,14.35441,52.33913,#4F4B7D,0.31175698766066207,0.29299576956067436,0.4889659956127212
Hagen,13.61768,54.56434,#14A969,0.07971801236199429,0.6643672645672526,0.4135288550307068
Reetz,12.37133,52.1102,#40435C,0.25222456776832886,0.2621951608700696,0.3609744744317595
Jürgenshagen,11.89471,53.9533,#11B779,0.06754993316459355,0.7186256666105398,0.4763299982449044
GrossJamno,14.57832,51.72402,#610D2F,0.38117551673011724,0.05213832949494227,0.18425740729824372
Osterfeld,11.92963,51.08099,#511437,0.3161549721362215,0.07813176796095918,0.21386819579542396
Götz,12.71743,52.41975,#314F5A,0.1938584426665418,0.3078631784862392,0.3525589575661368
Wernigerode,10.79175,51.83833,#2F7471,0.18294811143477133,0.45454762142140903,0.4436982788443564
Schraden,13.6915,51.42369,#550042,0.3341991073843154,0,0.2584833527154297
Schönbeck,13.57191,53.5793,#1E997D,0.11865674674258567,0.6014548159568537,0.4921450841041502
Atzendorf,11.59695,51.91989,#285C4C,0.15830549760663987,0.3606266565553268,0.2980259763613346
Kleinbottwar,9.28698,48.98044,#9E3AB5,0.6190923031001985,0.22650758751666417,0.7088243375082951
Schömberg,8.75991,48.21131,#F39C96,0.9516820042452248,0.6119461138403203,0.5887639822992825
Eschelbronn,8.86825,49.3202,#ED8288,0.9279949940374173,0.5084064527867015,0.5332199616412852
Horheim,8.34737,47.64854,#E5A7A0,0.8997066616875564,0.6529970629362953,0.6268551636486598
Bempflingen,9.26556,48.57309,#FC9DA3,0.9887098301377756,0.6140096970985338,0.638998992740601
Oberhomberg,9.41656,47.81259,#FA9B93,0.9821318332064229,0.6069557194530404,0.5761854844749873
Billingsbach,9.89691,49.30381,#FF8795,1,0.5277391016081665,0.5836688098821982
Seelbach,7.94104,48.30987,#E19A8E,0.8843109388438654,0.6052023115899904,0.5551111017335745
Pfaffenrot,8.45861,48.86075,#F19583,0.9443980397010611,0.5857930782310303,0.5148169014735762
Endenburg,7.73306,47.71161,#E3A7AF,0.8907443932138583,0.6539522794158872,0.6863633077618065
Burgrieden,9.93333,48.23855,#E49C7B,0.8958581694241567,0.6131691681143904,0.4824033646474024
Iggingen,9.87851,48.83126,#F69E91,0.9656288274371636,0.6191093600674293,0.5685840562025024
Leuth,6.22534,51.33748,#ABCFD8,0.6704084617992668,0.8103705766895899,0.8480540995029016
Odenspiel,7.71735,50.92872,#6A41B0,0.41508186569293126,0.253335610353822,0.6916735939175367
Bonn,7.10169,50.7323,#7642DB,0.46215341919870934,0.2587295398466698,0.8583572931269381
Aachen,6.08842,50.77804,#7A6AFF,0.47987991619989984,0.4151414370719201,1
Köln,6.95506,50.94165,#764AE2,0.4612375989163754,0.2897619407380312,0.8870869611273343
Iversheim,6.7722,50.58589,#C1ACB1,0.7556729716912629,0.6729156743140206,0.6945464250823709
Theuma,12.22288,50.46821,#6F0540,0.4346246888389237,0.019770644118350476,0.2518005576747515
Helmers,10.29392,50.72446,#7822C8,0.4688317872504048,0.13460010502314027,0.7839743200930501
Ebertshausen,10.57154,50.62814,#850ECA,0.5214129268868718,0.05548150154227535,0.793608921010569
Altenberg,13.76015,50.76363,#691035,0.4128813443994818,0.06109255392898102,0.20732643770002326
Rammenau,14.13335,51.15263,#5E023D,0.36977417393420076,0.008754822355117332,0.2391321751157474
Rosswein,13.18202,51.06476,#621037,0.3861627361415205,0.061928158628582,0.21401722852138777
Jonsdorf,14.69458,50.85343,#6F0136,0.43680641405542897,0.0056573631761651245,0.2123703655914147
Exdorf,10.54374,50.45702,#8622AB,0.5239553876593153,0.13327421111767718,0.669774618627515
Unterellen,10.16088,50.96697,#5D207A,0.36380827944649397,0.12690177352781162,0.47760894661366704
Grünlichtenberg,13.05826,51.04184,#5C1135,0.3625646202121046,0.06524681625150114,0.206460927124936
Schellroda,11.11512,50.91724,#581352,0.3464158311408985,0.07585564799940284,0.32193914829055315
Linz,13.73289,51.34256,#5A042D,0.3510437449291419,0.014825488645503525,0.17528362615174328
Lippen,14.46429,51.3784,#5F0533,0.3723512237710304,0.02097804414383957,0.20003576051040403
Gornsdorf,12.88345,50.69943,#730A31,0.4499501694634568,0.037460980121388876,0.19393779790845975
Wehrsdorf,14.3817,51.05396,#6A1152,0.4144654683780772,0.06536144037341342,0.31990426260283
Mockern,12.43014,50.95277,#610842,0.38179603055578964,0.030910528675729566,0.2573360025301359
Gersdorf,14.85208,51.12421,#590E3B,0.3497873716850829,0.056214659757092916,0.23150429781118198
Lampertswalde,13.08292,51.35966,#621439,0.38469961222585863,0.07843867053433487,0.22437846684819865
Grosswechsungen,10.69225,51.49484,#4A1E54,0.2902784391278191,0.11813717586066219,0.3302743694518453
Bockelwitz,12.95481,51.19788,#55202C,0.3327934957510081,0.12599004474746772,0.17378782543287913
Schmannewitz,12.98455,51.3965,#60081E,0.37814189708138735,0.030396521536176776,0.11763845168188257
Borstendorf,13.18209,50.77079,#640833,0.3909309053068754,0.03015476189590159,0.19883699938388635
Ballhausen,10.89288,51.15579,#552C57,0.33318435861621987,0.17163220103387863,0.3405856038832271
Engelsbach,10.60358,50.85131,#56195F,0.33682461218109616,0.09740297209274862,0.3713779736904746
Cursdorf,11.13046,50.57015,#690136,0.4098170585881734,0.004625300729061769,0.21337570218164537
Valdorf,8.8563326817,52.141194842,#18A063,0.09354384949012672,0.625863618823788,0.38916161222244955
Hohenkörben,7.09344065618214,52.5164896720584,#1BB592,0.10495792111779968,0.7090612110922049,0.5740484838976598
Niederauerbach,7.39866520384403,49.2574647664277,#E5739A,0.8972686848149585,0.4509521289893271,0.6033550370800665
Reelkirchen,9.03518281681611,51.9127405779053,#84E453,0.5193482882949474,0.8958772713082042,0.3251317590679639
