doculect,LONGITUDE,LATITUDE,col,r,g,b
Docelles,6.61615,48.14471,#E180A4,0.8819624829697601,0.5008111641255929,0.6429051797687758
Schachach,11.40528,48.46679,#DF9114,0.8751002228900212,0.567792453059279,0.07852465909100652
Pielenhofen,11.956480000000001,49.07279,#DFA206,0.8729309376376175,0.6366345454212964,0.022577754400445377
Oberviehbach,12.37579,48.58109,#DC9F09,0.8626296919415127,0.624469466102586,0.035541538578572764
Maibrunn,12.7814,49.016,#8D473F,0.5531598116328316,0.2803814474207461,0.24840165701223704
Hartenstein,11.52376,49.59651,#D0980E,0.8170171765112817,0.597410252133469,0.054247973819283125
Langenbruck,11.51153,48.6382,#D79805,0.8443452691638469,0.5952431331578952,0.01832458292207873
Gelting,11.81097,48.19687,#E29F11,0.8859810306334021,0.6218751932787466,0.06470764754692869
Pöttmes,11.09074,48.58242,#E0A70A,0.8791275925727741,0.6555337103744732,0.04086412286453005
Schauenstein,11.74264,50.27822,#E07D3A,0.8790251633251372,0.4915462909895456,0.22880538307498502
Nürnberg,11.07393,49.45431,#7E3B59,0.49241512524467007,0.23127168171186047,0.34927761411891606
Wildpoldsried,10.40268,47.76812,#9832B3,0.597837153074398,0.19792028403979064,0.7019945988620012
Volkershausen,10.30012,50.16458,#E78893,0.9040033627509754,0.5351969598550702,0.5777652232761287
Oberau,11.13614,47.56027,#E39C0C,0.8883499817910048,0.6107877305449939,0.045899076132240334
Ulbering,13.01466,48.35408,#DB9815,0.8601189797837467,0.5974242838345835,0.08101678010613513
Eichenhofen,11.64591,49.18626,#D7A315,0.8434369287947646,0.6395776315283904,0.08318592825338489
Obermaisel,10.23982,47.44684,#E1A18E,0.8806995637245213,0.6307216030317475,0.5564623480614483
Ramsau(Berch),12.89858,47.60782,#724B39,0.4488261021153002,0.2940287905579736,0.22252900487799163
Ottowind,10.88347,50.35401,#D29043,0.8239353579644555,0.5665368134000688,0.2608803684153595
Weidenbach,10.64359,49.19811,#D19F34,0.8211601930321664,0.6234950288603274,0.20502270833791494
Höchstädt(Don),10.56757,48.61144,#F59771,0.9620181663650249,0.5921066202438606,0.44342602626941086
Peterskirchen,12.47554,48.09406,#7C313F,0.4874293172451968,0.19190610990124551,0.2481514105875444
Igling,10.81434,48.07384,#F8A493,0.9709357717553921,0.6420055980587838,0.5779149478922426
Zellingen,9.81708,49.89864,#F68893,0.9630540957614726,0.5327379353700636,0.5748933702325653
Altentrüdin,10.61456,49.06389,#F4A19E,0.9577825981401581,0.6331521714908961,0.6176589881782023
Maxweiler,11.28617,48.72127,#EC966E,0.9273687733493016,0.5871722257521389,0.4305983611580563
Schnepfenbach,10.1485,49.83033,#D48A51,0.83098845117808,0.541260193196312,0.3158037648753461
Treffelstein,12.61578,49.42291,#D0A116,0.8164494818191159,0.6323730348580229,0.08668762330586449
Kemmern,10.87399,49.95301,#DA8F2D,0.853677089117615,0.5613663543677058,0.1755876656328174
Hermannsreuth,12.46995,49.83228,#7F3C5D,0.4980250587009446,0.23510041553594524,0.36499965608112306
Klafferstrass,13.79737,48.73814,#DAAB00,0.8568462289707435,0.6691020711266082,0
Oberwürzbach,7.14491,49.24246,#DD7E7C,0.868079687049282,0.49230174176441427,0.48814151563872543
Rosenthal,8.86801,50.974,#7810C5,0.468990015136811,0.06468991561860642,0.7732792313168302
Dexbach,8.58935,50.93639,#8207E4,0.5103544311675071,0.028031678568477165,0.8930542567714821
Lohra,8.6312,50.73594,#8722F2,0.5308536200830589,0.1349792021364681,0.9500350882400149
Büdesheim,8.83433,50.21787,#EC84A9,0.9240966641448942,0.5157821909274567,0.662415689739215
Weyhers,9.79949,50.48621,#DD85BE,0.865940796108717,0.5200303053493718,0.7435566674397069
Lohrhaupten,9.47928,50.12751,#9726D1,0.5940072101705116,0.1486382982991631,0.818935054723137
Siebenbach,7.03643,50.3804,#DE96DA,0.8709001867177679,0.5883879960464492,0.8559516215720583
Einöllen,7.63783,49.60773,#8614B5,0.5272731140261105,0.07885018223790519,0.7109742568939736
Bruch,6.78431,49.95674,#D18D89,0.8192189091700222,0.5545578208442007,0.5377469814869944
Hönebach,9.94198,50.9339,#622477,0.3857836531223255,0.1416092502898054,0.46576505992866857
Ensheim,8.11735,49.80601,#E28891,0.8881069891217457,0.5314267685082426,0.5676390477173955
Mastershausen,7.35556,50.06494,#902ADE,0.5640244480355385,0.16610841236115476,0.8686528699547883
Bremscheid,7.38355,50.55264,#359089,0.20959662701539064,0.5639365940039828,0.5384875074137098
Mörshausen,9.44337,51.04322,#531C54,0.32668537205842646,0.10939031174849878,0.32881135048456384
Herbornseelbach,8.34518,50.69923,#8E27EC,0.5587959161655996,0.15238438773813176,0.9245097265915279
Offdilln,8.22926,50.82533,#8A22E7,0.5395779580743664,0.13425581753007088,0.9058232578386941
Gottsbüren,9.50046,51.57855,#1E9173,0.11805192487491295,0.570283170604317,0.4501655105712726
Niedernhausen,8.31848,50.16055,#901EC6,0.5642582506371269,0.1186728196129629,0.7768582367410046
Niederasphe,8.66476,50.94115,#8609DD,0.5240823426761327,0.033858360013994525,0.8650415342168929
Kruft,7.33431,50.383,#8231F8,0.5081212321255658,0.19085150187624042,0.9733863203204396
Röhrda,10.0587,51.10205,#532375,0.32601148195811497,0.13577342978902265,0.4594123362796528
Allna,8.67041,50.77126,#8F26EC,0.5593765385843714,0.14830109658903046,0.9259787733027702
Hartenfels,7.78567,50.57188,#6B228B,0.4192981816249239,0.13510314750424796,0.5436885518857206
Ungstein,8.18374,49.47631,#8A22A5,0.53956574833045,0.13465561285387512,0.6475670574785877
Orferode,9.93846,51.25775,#C08963,0.7535924741117054,0.5380683081367456,0.38893993904702073
Tann(Rhön),10.02256,50.64151,#8230E9,0.511062719107278,0.19014241805003393,0.9117814942486101
Winterspelt,6.21301,50.2135,#7132BB,0.44194617325923596,0.19711679359445874,0.7342364283990331
Wittelsberg,8.85498,50.76017,#8620F2,0.5253127168837831,0.1259262848360639,0.9503789602741705
Frohnhausen,8.62489,50.96621,#7D18B4,0.48975805098661307,0.09330341127773124,0.7052918268579416
Vielbrunn,9.09816,49.71315,#E2848F,0.8855106328276772,0.515842428756224,0.562237328844571
Adorf,8.80445,51.36049,#96C472,0.5888643740745771,0.7697649868595529,0.4487329757491241
Hesselteich,8.23615,52.0266,#19AA6A,0.09991040700959024,0.6656754986612804,0.4175467496871421
Herdecke,7.43174,51.40055,#4B649C,0.2924573621663892,0.3921645861802298,0.6127249220716096
Albersloh,7.73278,51.86704,#1FB996,0.12159639916720591,0.7260078266706442,0.5868195019409198
Wüllen,6.97187,52.06571,#80FD71,0.5011677634300038,0.9902469222859059,0.44292557897884544
Haddorf,7.31817,52.25446,#1DB276,0.11340383922076139,0.6980084783298579,0.46095579668923065
Lippramsdorf,7.09489,51.71458,#8AF479,0.5409293812880082,0.956165199488079,0.47288563462203936
Wemb,6.17695,51.58482,#9BD7C7,0.6092725771562033,0.8426485008531442,0.781788023744554
Brockhausen,8.12967,51.63018,#8DE64A,0.5545983361911916,0.9034539929916315,0.29170136342882647
Herrentrup,9.03804,51.91995,#7EE747,0.49520835712397243,0.9056069104451565,0.2800470207009142
Engter,8.0617,52.3898,#89FF6C,0.5378302292674064,1,0.42179658886143495
Astfeld,10.36866,51.92967,#367283,0.2119626903711858,0.4454081966209043,0.5132075745874732
Herssum,7.64522,52.75389,#2CA081,0.17193758279770613,0.6276854871678816,0.505219634094343
Osterhagen,10.48229,51.5915,#228378,0.1335127276395307,0.5142602177414445,0.47031187326066665
Wasbek,9.89498,54.07009,#20B489,0.12383436489513062,0.7069676798461892,0.5365461540760997
Brelingen,9.68234,52.5546,#12A37C,0.07060778462078626,0.6384153645556727,0.4877371027169091
Freden,8.32006,52.21207,#4374A1,0.264094097574139,0.4533345152543744,0.6297760273897594
Schwabstedt,9.18593,54.3963,#1AB07A,0.10132006082497641,0.6897232473071478,0.4781161564626986
Jesteburg,9.95808,53.30943,#16B182,0.08439367461600292,0.6925067590154833,0.5081772961513709
Bardenfleth,8.37107,53.23143,#28B584,0.1553136186314022,0.7089781683423739,0.51830536236532
