Name,Longitude,Latitude,cvRatio
A51_BAFIA_MAJA,11.2,5.1,2.066666666666667
A51_BAFIA_TUMI_TINGON,11.2,5.1,1.72
A53_BAFIA_RIKPA,11.17,5.0,1.0208333333333333
A54_BAFIA_NJANTI,11.3,5.3,1.5
A60_GUNU,11.25,4.58,0.8813559322033898
A60_MMAALA,11.08,4.5,1.0655737704918034
A61_NGORO_ASOM,11.5,4.58,1.4210526315789473
A62_KALONGE,11.08,4.43,1.1643835616438356
A72a_EWONDO,12.0,4.0,1.702127659574468
AASAX,37.16,-4.04,1.170731707317073
ABAGA,145.67,-6.17,0.9090909090909091
ABANYOM,8.63,6.29,1.6388888888888888
ABAR,10.25,6.58,1.2653061224489797
ABASAKUR,145.23,-4.77,1.1265822784810127
ABAU_2,141.25,-4.0,1.3650793650793651
ABAZA,42.0,44.0,1.5970149253731343
ABBEY,-4.38,5.9,1.0
ABIDJI_2,-4.58,5.67,0.8767123287671232
ABINOMN,138.83,-3.0,1.5833333333333333
ABIPON,-61.0,-29.0,0.8585858585858586
ABIRPARA_MAHALI,85.32,23.4,1.3076923076923077
ABKHAZ,41.0,43.08,1.6896551724137931
ABKHAZ_2,41.0,43.08,0.9238095238095239
ABNAKI_EASTERN,-68.67,45.0,1.382608695652174
ABNAKI_WESTERN,-72.25,44.0,1.2300884955752212
ABRON_2,-2.0,7.6,1.2191780821917808
ABU,144.5,-4.25,1.2857142857142858
ABUA,6.69,4.91,0.8823529411764706
ABUI,124.58,-8.25,1.0571428571428572
ABUI_ATIMELANG,124.58,-8.25,1.2207792207792207
ABUI_MAKADAI,124.58,-8.25,1.1756756756756757
ABUI_TAKALELANG,124.58,-8.25,0.926605504587156
ABUJHMARIA,81.0,19.5,1.4269662921348314
ABUL,30.67,11.25,1.4054054054054055
ABUNG_SUKADANA_LAMPUNG_NYO,105.5,-4.67,1.1333333333333333
ABURE_3,-3.5,5.31,0.7108433734939759
ABU_2,142.92,-3.46,1.0612244897959184
ACATECO_SAN_MIGUEL_ACATAN,-91.67,15.33,1.423728813559322
ACEH,95.5,5.5,0.9391304347826087
ACHAGUA,-72.25,4.42,0.7666666666666667
ACHANG,98.5,25.0,1.1911764705882353
ACHE,-55.17,-25.25,0.8828828828828829
ACHOLI,32.67,3.0,1.40625
ACHOLI_2,32.67,3.0,1.3043478260869565
