Name,Longitude,Latitude,cvRatio
ACHUAR,-76.0,-3.0,1.0677966101694916
ACHUMAWI,-121.0,41.5,1.188034188034188
ACOMA_KERES,-107.52,34.97,1.0543478260869565
ADANG,124.47,-8.17,1.0975609756097562
ADANGBE,0.73,6.51,0.7868852459016393
ADANG_PITUNG,124.47,-8.17,1.0684931506849316
ADHOLA,34.0,0.67,1.528301886792453
ADILABAD_GONDI,81.0,19.0,1.6612903225806452
ADIOUKROU_2,-4.52,5.39,1.891304347826087
ADI_GALO,94.07,28.23,0.9615384615384616
ADORA,138.16,-1.85,1.1237113402061856
ADUMANIS_ULU_KOMERING,105.0,-4.0,1.2153846153846153
ADYGHE,40.58,45.23,1.6666666666666667
ADYGHE_2,39.7,45.22,1.7666666666666666
ADZERA,146.25,-6.25,1.2073170731707317
AFAR,42.0,12.0,1.0402684563758389
AFAR_2,42.0,12.0,0.9302325581395349
AFITTI,30.75,12.47,1.2361111111111112
AFI_AMANDA,10.95,6.8,1.2142857142857142
AFRIKAANS,22.0,-31.0,1.9591836734693877
AGALA,142.25,-5.75,0.8
AGHEM_2,10.0,6.65,1.163265306122449
AGHEM_ISU,10.0,6.67,1.326086956521739
AGHEM_WEH,10.0,6.67,1.4186046511627908
AGHEM_WUM,10.0,6.67,1.2765957446808511
AGHU_THARRNGGALA,144.0,-15.0,1.161764705882353
AGI,29.75,4.75,1.0724637681159421
AGI_AGEI,142.42,-3.42,1.2272727272727273
AGI_YOLPA,142.42,-3.42,1.2873563218390804
AGNI_ANYIN_2,-3.2,6.8,0.8941176470588236
AGNI_INDENIE_2,-3.5,6.73,0.9863013698630136
AGOB_DABU,142.58,-9.0,1.1948051948051948
AGOI,8.21,5.86,1.2533333333333334
AGRA_GUJARI,78.0,27.18,1.5
AGTA,121.83,17.97,1.2597402597402598
AGUACATEC,-91.33,15.42,1.76
AGUACATECO_AGUACATAN,-91.33,15.42,1.7234042553191489
AGUARUNA,-78.0,-5.0,1.0337078651685394
AGUARUNA_2,-78.0,-5.0,1.1466666666666667
AGUL,47.67,41.75,1.7402597402597402
AGWAGWUNE_5,8.08,5.75,0.96
AHANTE,-2.0,4.9,0.8173076923076923
AHEAVE,145.42,-7.67,0.6666666666666666
AHLO,0.67,6.67,0.8452380952380952
AHTNA,-145.0,62.0,1.446808510638298
AIHUI_MANCHU,127.5,50.25,1.0612244897959184
AIKANA,-60.67,-12.67,0.9879518072289156
AIKU,142.6,-3.7,1.434782608695652
AIMELE,142.67,-6.92,0.918918918918919
AINU_ASAHIKAWA,142.37,43.77,1.2318840579710144
AINU_BIHORO,144.1,43.82,1.1830985915492958
AINU_HIRATORI,142.13,42.58,1.2105263157894737
AINU_HOROBETSU,141.1,42.42,1.2278481012658229
AINU_KUSHIRO,144.38,42.98,1.2173913043478262
AINU_MAOKA,142.05,47.05,1.1481481481481481
AINU_NAIRO,141.06,45.39,1.1585365853658536
AINU_NAYORO,142.46,44.35,1.2142857142857142
AINU_NIIKAPPU,142.32,42.37,1.2266666666666666
AINU_NUKKIBETSU,142.27,42.66,1.2266666666666666
AINU_OBIHIRO,143.2,42.92,1.1891891891891893
AINU_OCHIHO,143.09,46.92,1.1481481481481481
AINU_OSHAMAMBE,140.37,42.51,1.2151898734177216
AINU_RAICHISHKA,142.03,49.07,1.127659574468085
AINU_SAMANI,142.93,42.13,1.24
AINU_SARU,142.01,42.5,1.0512820512820513
AINU_SHIRAURA,142.52,47.85,1.146341463414634
AINU_SOYA,141.94,45.52,1.1724137931034482
AINU_TARANTOMARI,141.97,46.86,1.0833333333333333
AINU_YAKUMO,140.27,42.25,1.2025316455696202
AIOME,144.83,-5.17,1.1354166666666667
AISHUO_WA,99.59,22.32,1.4509803921568627
AI_BANDA,129.77,-4.52,1.2758620689655173
AJA,25.67,7.33,1.0547945205479452
AJAGBE,1.65,7.07,0.8307692307692308
AJIE,165.5,-21.33,0.9868421052631579
AJYININKA_APURUCAYALI,-74.53,-9.92,0.9166666666666666
AK,141.75,-3.5,1.2950819672131149
AKAHA,6.42,4.5,0.797979797979798
AKAJIMA_OKINAWAN,127.28,26.2,1.1066666666666667
AKAR_BALE,92.83,12.67,1.0405405405405406
AKAWAIO_2,-59.5,6.0,1.0
AKA_BEA,92.5,11.67,1.0357142857142858
AKA_BO,93.0,13.25,0.9893617021276596
AKA_CARI,93.0,13.5,0.9473684210526315
AKA_KEDE,92.75,12.75,0.9690721649484536
AKA_KOL,92.9,12.25,1.0615384615384615
AKA_KORA,92.75,12.09,1.0978260869565217
AKE,8.75,8.58,0.9054054054054054
AKEI,166.78,-15.58,0.7352941176470589
AKEI_PENANTSIRO,166.8,-15.6,0.7171717171717171
AKEI_TASIRIKI,166.82,-15.65,0.7901234567901234
AKHA,99.83,21.83,1.603448275862069
AKHVAKH,46.33,42.33,1.1304347826086956
AKITA,6.42,5.25,0.7864077669902912
AKKADIAN,44.1,33.1,1.0315789473684212
AKKADIAN_2,44.1,33.1,0.9444444444444444
AKKIN_CHECHEN,46.58,43.25,1.5833333333333333
AKLANON,122.33,11.58,1.2894736842105263
AKOLET,150.18,-6.23,1.1710526315789473
AKPAFU,0.42,7.25,1.1951219512195121
AKPOSO,0.65,7.53,0.7448979591836735
AKUKRAY,144.83,-4.83,1.1012658227848102
AKUM,10.0,6.77,0.9420289855072463
AKUNNU,5.92,7.58,0.75
ALABAMA,-87.41,32.33,0.9789473684210527
ALAGWA,35.75,-5.5,1.10752688172043
ALAMBLAK,143.33,-4.67,1.783132530120482
ALAMBLAK_2,143.33,-4.67,1.7551020408163265
ALBANIAN,20.0,41.0,1.542857142857143
ALBANIAN_GHEG,20.83,41.33,1.6363636363636365
ALBANIAN_TOSK,20.0,41.0,1.4193548387096775
ALEKANO,145.42,-6.0,0.8679245283018868
ALEUT,-166.0,54.0,1.072289156626506
ALEUT_2,-166.0,54.0,1.404494382022472
ALGONQUIN,-77.0,46.0,1.288659793814433
ALI,18.0,4.67,1.0377358490566038
ALLADIAN_2,-4.58,5.2,1.0847457627118644
ALLENTIAC,-68.1,-33.48,1.3157894736842106
ALOAPAM_ZAPOTEC,-96.68,17.42,0.9506172839506173
ALOR,124.0,-7.67,1.1168831168831168
ALOR_BARAHUSA_KABIR,124.0,-7.67,1.196969696969697
ALOR_KALABAHI,124.0,-7.67,1.196969696969697
ALSATIAN,7.5,48.5,1.6481481481481481
ALSEA,-123.92,44.67,1.6272727272727272
ALUNE,128.3,-3.0,0.7848101265822784
ALUR,31.25,2.42,1.2923076923076924
ALUTOR,165.0,61.0,1.5
ALU_MONO,155.75,-7.05,0.7529411764705882
ALYAWARRA,135.0,-22.5,1.0465116279069768
AMAHAI,128.92,-3.33,0.782608695652174
AMAHUACA,-72.5,-10.5,1.19
AMAIMON,145.39,-5.2,1.0229885057471264
AMARA,148.5,-5.67,0.7909090909090909
AMARAKAERI,-70.5,-12.5,1.4081632653061225
AMARI,146.2,-6.3,1.2528735632183907
AMASI,9.58,6.0,1.434782608695652
AMATLAN_ZAPOTEC,-96.58,16.18,1.744186046511628
AMA_3,141.67,-4.17,0.7674418604651163
AMA_AFRICA,29.33,12.17,1.2653061224489797
AMBAI,136.3,-1.5,0.9010989010989011
AMBAKICH,144.28,-4.23,1.360655737704918
AMBAKICH_AGURANT,144.25,-4.25,1.3780487804878048
AMBAKICH_AGURANT_2,144.25,-4.25,1.462686567164179
AMBAKICH_ARANGO,144.25,-4.25,1.3452380952380953
AMBAKICH_OMBOS,144.25,-4.25,1.3209876543209877
AMBAKICH_PANGIN,144.25,-4.25,1.3375
AMBAKICH_YAUT,144.25,-4.25,1.3253012048192772
AMBEL,130.82,-0.03,1.3703703703703705
AMBELE,9.67,5.92,1.5
AMBELE_2,9.67,5.92,1.441860465116279
AMBLONG,166.97,-15.52,0.7976190476190477
AMBONESE_MALAY,128.2,-3.83,1.0724637681159421
AMBON_MALEIS,128.17,-3.83,1.2065217391304348
AMBULAS,143.0,-3.83,1.1818181818181819
AMDANG,21.17,14.5,1.3181818181818181
AMEDYA_ARAMAIC,43.5,37.1,1.3555555555555556
AMELE,145.58,-5.25,1.0
AMGOTRO,141.0,-3.58,0.9813084112149533
AMHARIC,38.0,10.0,1.2682926829268293
AMHARIC_2,38.0,10.0,1.318840579710145
AMHARIC_3,38.0,10.0,1.3205128205128205
AMO,8.67,10.33,1.2264150943396226
AMOL,142.5,-3.42,1.5384615384615385
AMONDAVA,-63.77,-11.14,0.8
AMOY_MINNAN_CHINESE,118.0,25.0,1.2
AMPALE,146.08,-6.75,1.2285714285714286
AMPARI_PA,-3.87,14.22,1.025974025974026
AMRI_KARBI,91.48,26.02,1.62
AMUESHA,-75.42,-10.5,1.488888888888889
AMURDAK,133.0,-12.0,1.244186046511628
ANAANG,7.58,5.0,1.2857142857142858
ANAIWOI_BAJAU,123.0,-4.33,1.04
ANAKALANG,119.5,-9.75,0.8289473684210527
ANA_TINGA,-3.12,14.67,1.1515151515151516
ANDAQUI,-76.0,1.0,1.0212765957446808
ANDARUM,144.75,-4.5,1.28
ANDI,46.25,42.75,1.3125
ANDI_MUNI,46.31,42.68,1.2857142857142858
ANDRI,29.75,4.75,0.8714285714285714
ANEITYUM_2,169.8,-20.2,1.1688311688311688
ANEM,149.08,-5.58,1.03125
ANEME_WAKE,148.5,-9.83,0.6904761904761905
ANGAATAHA,146.25,-7.22,1.125
ANGAL,143.67,-6.0,1.2857142857142858
ANGAL_HENENG,143.5,-6.08,1.5576923076923077
ANGAS,9.5,9.5,1.8709677419354838
ANGAUA,144.92,-5.0,1.3
ANGGURUK_YALI,139.2,-4.0,1.0869565217391304
ANGIYAKMIN_FAIWOL,141.67,-5.5,1.325
ANGOR,141.17,-3.75,1.025974025974026
ANGORAM_2,144.0,-4.08,1.586466165413534
ANGUTHIMRI,141.75,-12.39,1.2295081967213115
ANI,21.92,-18.92,1.0925925925925926
ANIB,8.25,9.5,1.1285714285714286
ANIGIBI,143.5,-8.0,0.6938775510204082
ANII,1.75,9.25,1.0327868852459017
ANIMERE,0.42,7.6,1.3508771929824561
ANIWA,169.6,-19.26,0.7582417582417582
ANKAVE,145.75,-7.17,1.198019801980198
ANONG,98.75,27.33,1.3780487804878048
ANOR_2,144.83,-5.0,1.0963855421686748
ANSUS,135.78,-1.71,0.875
ANUFO,0.25,10.08,0.9404761904761905
ANUKI,149.83,-9.58,0.9292929292929293
ANUTA,169.75,-11.75,0.6635514018691588
ANYI,-3.5,7.0,0.9558823529411765
ANYUAK,33.5,8.0,1.435483870967742
AORE,167.18,-15.6,0.8095238095238095
APALAI,-54.0,0.0,0.7628865979381443
APANIEKRA,-45.0,-7.0,1.4285714285714286
APATANI,93.75,27.5,0.9672131147540983
APIAKA,-57.0,-10.77,0.8160919540229885
APINAYE,-48.0,-5.5,1.1578947368421053
APMA,168.2,-15.66,1.2878787878787878
APOI,5.67,4.92,0.782608695652174
APURINA,-67.0,-9.0,0.8198198198198198
APUTAI,126.5,-7.83,0.873015873015873
AP_MA,144.13,-4.25,1.5
ARABELA,-75.17,-2.0,0.8300653594771242
ARABIC_GULF_SPOKEN,49.0,26.0,1.5797101449275361
ARABIC_LIBYAN_SPOKEN,22.0,32.0,1.5
ARABIC_NORTH_LEVANTINE_SPOKEN,36.0,33.75,1.5735294117647058
ARABIC_QURANIC,42.0,25.0,2.036363636363636
ARABIC_SUDANESE_SPOKEN,32.53,15.55,1.5161290322580645
ARABISHI,8.08,8.67,1.162162162162162
ARAGONESE,-0.17,42.17,1.2410714285714286
ARAKI,166.96,-15.64,0.8961038961038961
ARALLE,119.25,-2.75,1.0138888888888888
ARAMAIC,43.0,36.0,1.0178571428571428
ARAMAIC_ANCIENT,37.0,35.0,1.25
ARANDAI_SEBYAR,133.0,-2.08,0.9148936170212766
ARANDAI_TAROF,133.0,-2.08,0.6796116504854369
ARAONA,-67.75,-12.33,0.8672566371681416
ARAPAHO,-103.0,40.0,1.2
ARAPESH,143.17,-3.42,1.1692307692307693
ARARA_DO_PARA,-53.0,-3.62,0.9104477611940298
ARARA_PANO,-71.33,-8.0,1.1388888888888888
ARAWE,148.83,-5.92,1.0
ARAWETE,-52.24,-5.0,0.8194444444444444
ARAWUM,145.94,-5.51,1.1818181818181819
ARBEL_NEO_ARAMAIC,35.0,31.75,1.4285714285714286
ARBORE,36.75,5.0,1.0666666666666667
ARBORE_2,36.75,5.0,1.0493827160493827
ARCHI,46.83,42.0,1.578125
ARCHI_2,46.83,42.0,1.6603773584905661
ARE,150.0,-9.67,0.8876404494382022
ARGOBBA,40.08,10.17,1.3918918918918919
ARGUNI,132.6,-2.67,1.0416666666666667
ARI,36.58,6.0,1.0379746835443038
ARIBWATSA,147.0,-6.72,1.2580645161290323
ARIGIDI,5.87,7.57,0.6493506493506493
ARIKAPU,-62.8,-12.42,1.0123456790123457
ARIKARA,-100.5,45.5,1.5974025974025974
ARIN,93.0,57.0,1.3700787401574803
ARINGA,31.2,3.65,0.7246376811594203
ARINGA_2,31.25,3.5,0.7323943661971831
ARMENIAN,45.0,40.0,1.953125
ARMENIAN_CLASSICAL,45.0,40.0,1.8571428571428572
ARO,142.58,-3.42,1.2096774193548387
AROGBO,5.67,4.92,0.75
AROP_LOKEP,147.01,-5.33,1.0481927710843373
AROP_SISSANO,142.12,-3.07,0.9365079365079365
AROSI_TAWATANA,161.33,-10.25,0.7349397590361446
ARPITAN,4.83,45.77,1.0212765957446808
ARRERNTE_CENTRAL,136.0,-24.0,1.11864406779661
ARRERNTE_EASTERN,136.0,-24.0,1.1043478260869566
ARUEK,142.75,-3.33,1.0571428571428572
AS,131.67,-0.75,1.0740740740740742
ASADLI_KHORASANI,57.35,37.3,1.4150943396226414
ASARO,145.25,-6.0,1.0
ASARO7O,146.51,-5.68,1.16
ASAS,145.58,-5.7,0.8809523809523809
ASHANINKA,-74.0,-12.0,1.0059171597633136
ASHENINKA,-74.33,-10.33,0.8770491803278688
ASHING,95.04,28.62,1.1123595505617978
ASHKUN,70.37,34.84,1.1451612903225807
ASHRET_PHALURA,71.75,35.44,1.4150943396226414
ASILULU,128.0,-3.67,0.883495145631068
ASILULU_LIMA_RUMAHSOSAL_NUWETETU,128.0,-3.67,0.8558558558558559
ASILULU_LIMA_WARAKA,128.0,-3.67,0.8407079646017699
ASMATH_NORTH,138.05,-4.83,1.3134328358208955
ASMAT_CENTRAL,138.5,-5.5,1.40625
ASMAT_YAOSAKOR,138.5,-5.58,1.4230769230769231
ASSAMESE,93.0,26.0,1.4285714285714286
ASSINIBOINE,-103.42,50.25,1.0
ASSYRIAN_NEO_ARAMAIC,41.0,36.0,1.015267175572519
ASTURIAN,-6.0,43.25,1.0192307692307692
ASUMBOA,166.67,-11.33,0.9743589743589743
ASURINI,-49.5,-3.5,0.8831168831168831
ASURINI_XINGU,-52.67,-4.25,0.972972972972973
ASU_NIGERIA_2,5.42,10.0,0.9375
ASU_TANZANIA,37.7,-4.1,1.1808510638297873
ASU_TANZANIA_2,37.7,-4.1,1.1724137931034482
ATAKAPA,-93.5,30.0,1.4848484848484849
ATALLA,-74.87,-12.76,1.1411764705882352
ATAYAL,121.33,24.5,1.3763440860215055
ATCHIN,167.33,-16.0,1.2615384615384615
ATEMPLE,144.8,-5.1,1.0240963855421688
ATHPARE,87.33,27.0,1.5
ATIKAMEKW,-74.0,48.0,1.4022988505747127
ATITLAN_MIXE,-96.0,17.5,1.8703703703703705
ATSUGEWI,-121.0,40.75,1.1023622047244095
ATTA_PAMPLONA,121.25,18.42,1.2597402597402598
ATTIE,-3.75,6.0,1.1886792452830188
ATTIE_2,-3.82,6.02,1.1764705882352942
ATTOCK,72.08,33.88,1.28
ATTOCK_CITY_HINDKO,72.25,33.87,1.3018867924528301
AULUA,167.67,-16.33,1.3194444444444444
AULU_SAA,161.45,-9.26,0.691358024691358
AURAN_KULON_PAZEH,120.63,24.15,1.1358024691358024
AUSHI,29.0,-11.0,1.121212121212121
AUYANA,145.75,-6.5,0.825
AVAR,46.5,42.5,1.4230769230769231
AVAR_2,46.5,42.5,1.9166666666666667
AVAR_ANDALAL,46.96,42.39,1.5384615384615385
AVAR_ANTSUKH,46.31,42.48,1.6756756756756757
AVAR_BATLUKH,46.35,42.56,1.5806451612903225
AVAR_HID,46.72,42.33,1.5737704918032787
AVAR_KARAKH,46.83,42.24,1.588235294117647
AVAR_KUSUR,46.86,42.06,1.6491228070175439
AVAR_ZAKATALY,46.81,41.62,1.6229508196721312
AVASO_BABATANA,157.5,-7.33,1.024390243902439
AVAU,150.43,-6.24,0.9125
AVA_CANOEIRO,-50.0,-11.3,0.8795180722891566
AVESTAN,44.97,33.17,0.9724770642201835
AVESTAN_2,66.87,36.77,1.35
AVIKAM_2,-5.24,5.16,0.8641975308641975
AVOKAYA,29.97,4.86,0.8571428571428571
AVOKAYA_2,29.97,4.86,0.8405797101449275
AWA,145.75,-6.67,0.9175257731958762
AWABAKAL,151.29,-32.9,1.3289473684210527
AWADHI,81.5,27.5,1.2272727272727273
AWAKE,-63.12,4.0,0.9555555555555556
AWALAI_WA,99.44,22.64,1.3076923076923077
AWAR,144.83,-4.08,1.6829268292682926
AWARA,146.75,-6.17,1.323076923076923
AWAR_3,144.83,-4.08,1.4426229508196722
AWA_2,145.75,-6.67,0.9170305676855895
AWA_PIT,-78.25,1.5,1.2923076923076924
AWERA,136.0,-2.75,0.8313253012048193
AWING,10.28,5.87,1.0
AWJI,140.58,-2.92,1.0649350649350648
AWJILAH,21.0,29.0,1.403225806451613
AWNGI,36.67,10.83,1.3661971830985915
AWNGI_2,36.67,10.83,1.3387096774193548
AWTUW,142.0,-3.58,1.6470588235294117
AWUN,142.0,-3.75,1.1666666666666667
AWYU_CENTRAL_KETAH,139.69,-6.29,0.967032967032967
AWYU_CENTRAL_NOHON,139.69,-6.29,0.9883720930232558
AWYU_CENTRAL_TAIM,139.69,-6.29,0.9625
AXAMB,167.72,-16.52,1.2207792207792207
AXAMB_AVOK,167.75,-16.5,1.295774647887324
AXAMB_MAXBAXO,167.75,-16.54,1.3623188405797102
AYAPANECO,-93.08,18.17,1.606060606060606
AYERE,6.0,7.5,0.759493670886076
AYIWO,166.25,-10.33,1.0724637681159421
AYNU,76.0,39.5,1.5555555555555556
AYOQUESCO_ZAPOTEC,-96.83,16.67,1.8222222222222222
AYOREO,-59.25,-20.25,0.7886178861788617
AYOREO_2,-59.25,-20.25,0.958904109589041
AYT_SEGHROUCHEN,-4.67,33.33,2.3863636363636362
AYU,8.62,9.28,1.0731707317073171
AYUTLA_MIXE,-96.07,17.02,1.619047619047619
AZA_IRABU_MIYAKO,125.19,24.81,1.0972222222222223
AZERA,146.2,-6.3,1.2564102564102564
AZERBAIJANI,48.5,40.5,1.4736842105263157
AZERBAIJANI_NORTH,48.5,40.5,1.5344827586206897
AZERBAIJANI_NORTH_2,48.5,40.5,1.4814814814814814
AZOYU_TLAPANEC,-99.0,17.08,1.15
A_TONG,93.0,26.0,1.5913978494623655
B11c_GALWA_1,9.5,-1.25,1.3333333333333333
B11c_GALWA_2,9.5,-1.25,1.3064516129032258
B25_KOTA_2,12.5,0.0,1.1076923076923078
B312_HIMBA,13.75,-16.5,0.8985507246376812
B414_VARAMA,10.75,-2.5,1.1194029850746268
B41_SHIRA,10.5,-1.75,1.0246913580246915
B42_SANGU_2,11.83,-1.5,1.1304347826086956
B431_VUNGU,11.33,-2.5,1.140625
B44_LUMBU_YI_BANDA,10.58,-3.0,1.1551724137931034
B63_NDUUMO_KUYA,13.58,-1.67,1.1481481481481481
B70_TEKE_OMVULA,15.33,-3.67,1.25
B77a_KUKUYA_1,14.5,-2.33,1.3548387096774193
B77a_KUKUYA_2,14.5,-2.33,1.375
B85d_TSONG,18.08,-4.67,1.945945945945946
B86_DZING_BISEY,19.5,-4.33,1.5952380952380953
B871_MPIIN_2,19.33,-5.17,1.75
BAALE,35.2,6.2,1.064102564102564
BAATONUM,2.05,10.0,0.984375
BABA,10.52,6.12,1.4054054054054055
BABANGO,23.59,1.79,0.9649122807017544
BABANKI,10.32,6.08,1.697674418604651
BABANKI_2,10.31,6.11,1.619047619047619
BABOLE_DZEKE,17.25,1.08,1.0303030303030303
BABOLE_IMPFONDO,17.25,1.08,0.9857142857142858
BABONG,9.5,5.3,1.511111111111111
BABUNGO,10.42,6.12,1.425531914893617
BABUYAN,121.9,19.5,1.1643835616438356
BACAMA,11.65,9.4,1.4457831325301205
BACAMA_MULYEN,12.0,9.5,1.0987654320987654
BACANESE_MALAY,127.42,-0.58,1.0416666666666667
BADA,9.94,9.6,1.7173913043478262
BADAGA,76.75,11.67,0.9054054054054054
BADA_INDONESIA,120.33,-1.67,0.8901098901098901
BADE,10.5,12.83,1.1153846153846154
BADE_3,10.63,12.8,1.3783783783783783
BADGA,76.75,11.67,1.1363636363636365
BAETORA,168.17,-15.37,0.8658536585365854
BAETORA_NAROVOROVO,168.12,-15.32,1.0597014925373134
BAETORA_NASAWA,168.14,-15.28,1.1475409836065573
BAETORA_NAVENEVENE,168.13,-15.22,1.036144578313253
BAETORA_TAM,168.16,-15.19,1.0285714285714285
BAFAW,9.47,4.7,1.2708333333333333
BAFFA_PASHTO,73.26,34.5,1.2769230769230768
BAFIA,11.13,4.73,1.3888888888888888
BAFIA_ROPE,11.17,5.0,1.3620689655172413
BAFUT,9.92,6.25,1.0612244897959184
BAGA_MADURI,-14.55,10.83,1.673913043478261
BAGA_MBOTENI,-12.07,12.27,1.2941176470588236
BAGA_MBOTENI_3,-12.07,12.27,1.3272727272727274
BAGA_SITEMU_4,-14.5,10.51,1.4933333333333334
BAGIRMI,16.0,11.67,1.3369565217391304
BAGO_KUSUNTU,1.41,8.53,1.1044776119402986
BAGRI,74.33,29.58,1.4074074074074074
BAGUPI,145.63,-5.05,0.9393939393939394
BAGWALAL,46.17,42.58,1.297872340425532
BAHA_BUYANG,104.75,24.4,1.4259259259259258
BAHINEMO,142.83,-4.58,1.0416666666666667
BAHINEMO_2,142.83,-4.58,1.05
BAHING,86.4,27.4,1.5125
BAHNAR,108.33,13.83,1.52
BAHNAR_2,108.33,13.83,1.7
BAHUANA,-62.5,-0.5,0.9064748201438849
BAI,26.5,7.67,1.2619047619047619
BAIKENO,124.3,-10.6,1.0
BAIMAK,145.61,-5.18,0.9295774647887324
BAINOUNK_GUJAHER,-16.06,12.31,1.6666666666666667
BAISO,37.75,6.25,0.9324324324324325
BAISO_2,37.75,6.25,0.9577464788732394
BAISO_3,37.7,6.4,1.1095890410958904
BAI_2,27.5,5.7,1.1481481481481481
BAJAUR_PASHTO,71.68,34.82,1.3888888888888888
BAJOE_BAJAU,123.0,-4.33,1.1866666666666668
BAKAIRI,-55.0,-14.0,0.7142857142857143
BAKAKA,9.88,4.8,1.5333333333333334
BAKA_3,15.2,2.05,1.173913043478261
BAKA_4,15.2,2.05,1.0833333333333333
BAKA_5,15.2,2.05,1.305084745762712
BAKA_SUDAN,29.25,4.83,1.0416666666666667
BAKHTIARI,49.77,32.02,1.3943661971830985
BAKI,168.14,-16.71,1.1625
BAKOLE,8.97,4.44,0.9836065573770492
BAKOSSI,9.62,4.8,1.44
BAKPINKA,8.26,5.27,1.4363636363636363
BAKUERI,9.25,4.25,0.9014084507042254
BAKWE,-6.58,5.25,1.125
BAKWE_3,-6.51,5.4,1.1492537313432836
BALADE,164.2,-20.25,1.03125
BALAESANG,119.67,-0.08,1.0158730158730158
BALAKOT_HINDKO,73.35,34.55,1.2884615384615385
BALANGAW,121.17,17.17,1.144736842105263
BALANGINGI_SAMA,121.83,6.17,1.1951219512195121
BALANTA,-15.33,12.25,1.6851851851851851
BALANTA_FCA_2,-15.65,12.55,1.411764705882353
BALANTA_FCA_3,-15.65,12.55,1.4393939393939394
BALANTA_KENTOHE,-15.5,12.35,1.719298245614035
BALANTA_KENTOHE_2,-15.5,12.35,1.3396226415094339
BALEAR_CATALAN,2.65,39.57,1.2285714285714286
BALEP,8.67,6.08,1.45
BALESE,29.0,2.0,0.7403846153846154
BALI,115.25,-8.33,1.2023809523809523
BALILEDO,119.42,-9.75,0.8695652173913043
BALIMBA,29.75,4.75,0.9552238805970149
BALI_2,11.3,8.82,1.1206896551724137
BALI_NIGERIA,11.3,8.82,1.140625
BALO,9.69,6.13,1.186046511627907
BALOCHI_EASTERN,62.0,28.0,1.9516129032258065
BALOCHI_WESTERN,62.17,37.83,1.7804878048780488
BALONDO,9.98,4.83,1.5106382978723405
BALUAN_PAM,147.33,-2.5,1.2295081967213115
BAMBARA,-7.5,12.5,1.1538461538461537
BAMBARA_4,-6.99,10.11,0.975
BAMBILI,10.2,6.12,1.4
BAMBOMBA_EPENA,17.5,1.67,1.1379310344827587
BAMENYAM,10.33,5.75,1.3421052631578947
BAMILEKE,10.08,5.42,1.3333333333333333
BAMU,143.5,-8.0,0.7204968944099379
BAMU_2,143.5,-8.0,0.7722772277227723
BAMWE_2,19.25,2.35,1.0879120879120878
BANA,13.35,10.25,1.25
BANARO,144.33,-4.58,1.125
BANARO_3,144.33,-4.58,1.3278688524590163
BANARO_BAKARAM,144.33,-4.58,1.1636363636363636
BANATISKI_GURBET_ROMANI,20.18,45.4,1.4324324324324325
BANAWA,-65.0,-7.0,0.8137254901960784
BANA_2,13.65,10.36,1.40625
BANDA_BANDA,19.75,5.75,0.9342105263157895
BANDA_NDELE_NGAO,23.9,8.03,0.8243243243243243
