"","distance","I","significant"
"1",25,0.21137573275322,"1"
"2",75,0.297460528427586,"1"
"3",125,0.34338420700186,"1"
"4",175,0.342941165484158,"1"
"5",225,0.338710077702812,"1"
"6",275,0.343656304346497,"1"
"7",325,0.387615504648676,"1"
"8",375,0.40260233460699,"1"
"9",425,0.37556015362954,"1"
"10",475,0.42429441329868,"1"
"11",525,0.347222616500821,"1"
"12",575,0.370237006543958,"1"
"13",625,0.349321068245408,"1"
"14",675,0.384881779716818,"1"
"15",725,0.344279201302474,"1"
"16",775,0.319194943551666,"1"
"17",825,0.348540673841766,"1"
"18",875,0.341974439365456,"1"
"19",925,0.308690075241723,"1"
"20",975,0.339175878085765,"1"
"21",1025,0.340070757067542,"1"
"22",1075,0.333206174386839,"1"
"23",1125,0.329119028267745,"1"
"24",1175,0.335254833361249,"1"
"25",1225,0.346516161287244,"1"
"26",1275,0.316941387609496,"1"
"27",1325,0.315068397042729,"1"
"28",1375,0.317787140688075,"1"
"29",1425,0.365630703422397,"1"
"30",1475,0.36401649632264,"1"
"31",1525,0.343662717277802,"1"
"32",1575,0.326603507336641,"1"
"33",1625,0.333316354225628,"1"
"34",1675,0.318298932020372,"1"
"35",1725,0.319349134581888,"1"
"36",1775,0.312011193450572,"1"
"37",1825,0.323466687620722,"1"
"38",1875,0.330017151135384,"1"
"39",1925,0.312055830767944,"1"
"40",1975,0.303899456660117,"1"
"41",2025,0.303621598774429,"1"
"42",2075,0.306723103634571,"1"
"43",2125,0.302785608169468,"1"
"44",2175,0.309691939168052,"1"
"45",2225,0.314374198377083,"1"
"46",2275,0.326433169780977,"1"
"47",2325,0.301507439848717,"1"
"48",2375,0.306023790374636,"1"
"49",2425,0.325857984239435,"1"
"50",2475,0.2970359780677,"1"
"51",2525,0.318650869835781,"1"
"52",2575,0.303846675947594,"1"
"53",2625,0.321551469017771,"1"
"54",2675,0.327709798940276,"1"
"55",2725,0.315739546537748,"1"
"56",2775,0.306494741538345,"1"
"57",2825,0.325401510202182,"1"
"58",2875,0.307004309180063,"1"
"59",2925,0.302872324612836,"1"
"60",2975,0.349164990146166,"1"
"61",3025,0.336237911138677,"1"
"62",3075,0.345625124480926,"1"
"63",3125,0.32827238237206,"1"
"64",3175,0.301792085044472,"1"
"65",3225,0.296172197693048,"1"
"66",3275,0.290092962261684,"1"
"67",3325,0.28559566414427,"1"
"68",3375,0.285482771791422,"1"
"69",3425,0.290840962295889,"1"
"70",3475,0.280815379938589,"1"
"71",3525,0.291445316521168,"1"
"72",3575,0.252881847668128,"1"
"73",3625,0.280549539804547,"1"
"74",3675,0.245148225925382,"1"
"75",3725,0.229156296222388,"1"
"76",3775,0.216408443073277,"1"
"77",3825,0.227450587826622,"1"
"78",3875,0.188787737411886,"1"
"79",3925,0.197123429371203,"1"
"80",3975,0.219536457801686,"1"
"81",4025,0.204492026882835,"1"
"82",4075,0.197720034048414,"1"
"83",4125,0.213036848426647,"1"
"84",4175,0.210987758832165,"1"
"85",4225,0.193965667391614,"1"
"86",4275,0.185035339987702,"1"
"87",4325,0.177652718495121,"1"
"88",4375,0.184009006705624,"1"
"89",4425,0.171372543885488,"1"
"90",4475,0.190260089142434,"1"
"91",4525,0.179727993131751,"1"
"92",4575,0.181997366101494,"1"
"93",4625,0.152672816491291,"1"
"94",4675,0.138215147115742,"1"
"95",4725,0.14753008790798,"1"
"96",4775,0.150933604147677,"1"
"97",4825,0.12605555690884,"1"
"98",4875,0.138720290533542,"1"
"99",4925,0.110714935656319,"1"
"100",4975,0.135266096368665,"1"
"101",5025,0.11309213440583,"1"
"102",5075,0.110267855143509,"1"
"103",5125,0.131503754552201,"1"
"104",5175,0.121799990142734,"1"
"105",5225,0.0911702734652843,"1"
"106",5275,0.0979415570749783,"1"
"107",5325,0.116370528584276,"1"
"108",5375,0.0949901945485926,"1"
"109",5425,0.0947589725826178,"1"
"110",5475,0.0508240058834039,"1"
"111",5525,0.039714777575564,"1"
"112",5575,0.024066135818931,"0"
"113",5625,0.0363808798514065,"1"
"114",5675,0.0302297240749768,"1"
"115",5725,0.060386832578602,"1"
"116",5775,0.0344458794621149,"1"
"117",5825,0.0352062774487379,"1"
"118",5875,-0.00727402285180414,"0"
"119",5925,0.0028172026943847,"0"
"120",5975,-0.0305048443875798,"0"
"121",6025,-0.00750188585025162,"0"
"122",6075,-0.0354881914806778,"0"
"123",6125,-0.0261669152667344,"0"
"124",6175,-0.0278920908743557,"0"
"125",6225,-0.0486904061251138,"0"
"126",6275,-0.0283164229137977,"0"
"127",6325,-0.0330015721878354,"0"
"128",6375,-0.0378488597907269,"0"
"129",6425,-0.0511009140983533,"0"
"130",6475,-0.0707687875687473,"0"
"131",6525,-0.0399085525226772,"0"
"132",6575,-0.0168510153105081,"0"
"133",6625,-0.0151523227310755,"0"
"134",6675,-0.0504392276079114,"0"
"135",6725,-0.0273601892101169,"0"
"136",6775,-0.041041322942728,"0"
"137",6825,-0.0631649218208156,"0"
"138",6875,-0.0681677914697317,"0"
"139",6925,-0.0513177687785431,"0"
"140",6975,-0.046587409611119,"0"
"141",7025,-0.0339355210358562,"0"
"142",7075,-0.0621578442954448,"0"
"143",7125,-0.0419630156250607,"0"
"144",7175,-0.0451164248046258,"0"
"145",7225,-0.093480130463239,"0"
"146",7275,-0.0969820843693642,"0"
"147",7325,-0.0967297407218781,"0"
"148",7375,-0.0983156780157828,"0"
"149",7425,-0.11875353734534,"0"
"150",7475,-0.116351779446731,"0"
