"","distance","I","significant"
"131",6525,-0.0246503685174887,"0"
"132",6575,-0.0488457125802998,"0"
"133",6625,-0.0413968987936382,"0"
"134",6675,-0.022555085606329,"0"
"135",6725,-0.0574647739730582,"0"
"136",6775,-0.0772348668679386,"0"
"137",6825,-0.0551387686627682,"0"
"138",6875,-0.0405994070970709,"0"
"139",6925,-0.0387561020478713,"0"
"140",6975,-0.0607125774719697,"0"
"141",7025,-0.0735395756778964,"0"
"142",7075,-0.0708251292332572,"0"
"143",7125,-0.0897901655453897,"0"
"144",7175,-0.0757294088887901,"0"
"145",7225,-0.062866685650235,"0"
"146",7275,-0.0773646985899187,"0"
"147",7325,-0.099281860168326,"0"
"148",7375,-0.116775511918147,"0"
"149",7425,-0.107681368405084,"0"
"150",7475,-0.110745997283121,"0"
